year,iso_i,X_i_G,X_i_H,X_i_L
1999,USA,5411652.8,4213038.2,7391599
2000,USA,5702513.7,4632057.4,7970212.1
2001,USA,5508110.8,4785502.2,8281912.1
2002,USA,5423976.2,4930301.7,8519057.1
2003,USA,5670007.7,5237543.4,8920947
2004,USA,6124155.2,5616980.9,9523575
2005,USA,6766786,6108334.1,10197146
2006,USA,7174046.2,6555903.1,10749973
2007,USA,7571427.3,7025315.7,11198523
2008,USA,7751891.9,7210022,11603118
2009,USA,6492308.9,7209455.2,11101135
2010,USA,6795691.7,7388257.2,11626157
2011,USA,7335685.1,7666513.7,11915921
