year,row_sector,bt_all,exporter_num,importer_num,sector
2003,L,1033.73,4,1,2
2003,H,202.65,4,1,3
2004,G,6892.57,4,1,1
2004,L,795.35,4,1,2
2004,H,271.53,4,1,3
2005,G,7467.12,4,1,1
2005,L,792.28,4,1,2
2005,H,269.63,4,1,3
2006,G,7479.54,4,1,1
2006,L,694.20,4,1,2
2006,H,184.34,4,1,3
2007,G,9061.86,4,1,1
2007,L,1078.33,4,1,2
2007,H,357.22,4,1,3
2008,G,10009.70,4,1,1
2008,L,1043.76,4,1,2
2008,H,844.47,4,1,3
2009,G,8952.21,4,1,1
2009,L,887.83,4,1,2
2009,H,665.49,4,1,3
2010,G,9990.45,4,1,1
2010,L,1049.89,4,1,2
2010,H,569.17,4,1,3
2011,G,11916.11,4,1,1
2011,L,1224.48,4,1,2
2011,H,692.34,4,1,3
1995,G,556.52,5,1,1
1995,L,83.53,5,1,2
1995,H,6.18,5,1,3
1996,G,619.07,5,1,1
1996,L,124.94,5,1,2
1996,H,6.79,5,1,3
1997,G,731.85,5,1,1
1997,L,94.15,5,1,2
1997,H,9.20,5,1,3
1998,G,671.78,5,1,1
1998,L,120.70,5,1,2
1998,H,10.03,5,1,3
1999,G,762.92,5,1,1
1999,L,198.61,5,1,2
1999,H,16.80,5,1,3
2000,G,756.86,5,1,1
2000,L,97.00,5,1,2
2000,H,36.31,5,1,3
2001,G,642.61,5,1,1
2001,L,82.79,5,1,2
2001,H,68.07,5,1,3
2002,G,734.00,5,1,1
2002,L,123.76,5,1,2
2002,H,42.63,5,1,3
2003,G,708.97,5,1,1
2003,L,142.84,5,1,2
2003,H,93.68,5,1,3
2004,G,1062.73,5,1,1
2004,L,184.82,5,1,2
2004,H,422.08,5,1,3
2005,G,1328.71,5,1,1
2005,L,293.07,5,1,2
2005,H,228.75,5,1,3
2006,G,1519.39,5,1,1
2006,L,665.23,5,1,2
2006,H,671.54,5,1,3
2007,G,1830.73,5,1,1
2007,L,839.15,5,1,2
2007,H,982.47,5,1,3
2008,G,2041.95,5,1,1
2008,L,2160.08,5,1,2
2008,H,406.46,5,1,3
2009,G,3101.60,5,1,1
2009,L,1689.85,5,1,2
2009,H,155.93,5,1,3
2010,G,3284.03,5,1,1
2010,L,3000.80,5,1,2
2010,H,179.24,5,1,3
2011,G,4034.95,5,1,1
2011,L,3412.50,5,1,2
2011,H,205.95,5,1,3
1995,G,7235.89,6,1,1
1995,L,1140.35,6,1,2
1995,H,62.85,6,1,3
1996,G,6866.28,6,1,1
1996,L,950.92,6,1,2
1996,H,102.98,6,1,3
1997,G,8308.04,6,1,1
1997,L,1188.36,6,1,2
1997,H,82.42,6,1,3
1998,G,8166.25,6,1,1
1998,L,1023.85,6,1,2
1998,H,18.96,6,1,3
1999,G,8960.08,6,1,1
1999,L,990.77,6,1,2
1999,H,16.03,6,1,3
2000,G,8556.72,6,1,1
2000,L,1142.45,6,1,2
2000,H,25.63,6,1,3
2001,G,7400.07,6,1,1
2001,L,978.58,6,1,2
2001,H,36.50,6,1,3
2002,G,8106.72,6,1,1
2002,L,1010.51,6,1,2
2002,H,46.99,6,1,3
2003,G,9695.83,6,1,1
2003,L,1342.76,6,1,2
2003,H,32.46,6,1,3
2004,G,11025.89,6,1,1
2004,L,1923.36,6,1,2
2004,H,60.32,6,1,3
2005,G,11309.87,6,1,1
2005,L,1972.01,6,1,2
2005,H,85.95,6,1,3
2006,G,10727.43,6,1,1
2006,L,1702.96,6,1,2
2006,H,103.02,6,1,3
2007,G,11802.30,6,1,1
2007,L,1965.70,6,1,2
2007,H,130.53,6,1,3
2008,G,11967.98,6,1,1
2008,L,1047.22,6,1,2
2008,H,119.46,6,1,3
2009,G,9817.05,6,1,1
2009,L,607.27,6,1,2
2009,H,90.99,6,1,3
2010,G,13521.63,6,1,1
2010,L,701.26,6,1,2
2010,H,84.80,6,1,3
2011,G,17281.61,6,1,1
2011,L,848.59,6,1,2
2011,H,112.22,6,1,3
1995,G,82.26,7,1,1
1995,L,111.68,7,1,2
1995,H,0.10,7,1,3
1996,G,107.92,7,1,1
1996,L,102.26,7,1,2
1996,H,0.11,7,1,3
1997,G,121.15,7,1,1
1997,L,119.73,7,1,2
1997,H,0.14,7,1,3
1998,G,171.64,7,1,1
1998,L,98.15,7,1,2
1998,H,0.14,7,1,3
1999,G,191.67,7,1,1
1999,L,92.28,7,1,2
1999,H,0.18,7,1,3
2000,G,215.37,7,1,1
2000,L,110.80,7,1,2
2000,H,0.21,7,1,3
2001,G,249.80,7,1,1
2001,L,73.51,7,1,2
2001,H,0.24,7,1,3
2002,G,247.45,7,1,1
2002,L,61.11,7,1,2
2002,H,0.25,7,1,3
2003,G,332.89,7,1,1
2003,L,65.60,7,1,2
2003,H,0.34,7,1,3
2004,G,438.00,7,1,1
2004,L,58.67,7,1,2
2004,H,0.42,7,1,3
2005,G,563.35,7,1,1
2005,L,80.70,7,1,2
2005,H,0.60,7,1,3
2006,G,682.01,7,1,1
2006,L,78.72,7,1,2
2006,H,0.54,7,1,3
2007,G,770.27,7,1,1
2007,L,116.04,7,1,2
2007,H,0.73,7,1,3
2008,G,823.34,7,1,1
2008,L,78.15,7,1,2
2008,H,0.79,7,1,3
2009,G,666.70,7,1,1
2009,L,42.14,7,1,2
2009,H,0.70,7,1,3
2010,G,1150.15,7,1,1
2010,L,59.10,7,1,2
2010,H,0.68,7,1,3
2011,G,3048.87,7,1,1
2011,L,91.62,7,1,2
2011,H,1.04,7,1,3
1995,G,28903.92,8,1,1
1995,L,8013.09,8,1,2
1995,H,3861.64,8,1,3
1996,G,32461.97,8,1,1
1996,L,8331.79,8,1,2
1996,H,4233.72,8,1,3
1997,G,32610.01,8,1,1
1997,L,9390.69,8,1,2
1997,H,4694.18,8,1,3
1998,G,29992.93,8,1,1
1998,L,7615.85,8,1,2
1998,H,4326.37,8,1,3
1999,G,35895.48,8,1,1
1999,L,9465.48,8,1,2
1999,H,4914.63,8,1,3
2000,G,35856.77,8,1,1
2000,L,8450.40,8,1,2
2000,H,4972.12,8,1,3
2001,G,32948.87,8,1,1
2001,L,7190.10,8,1,2
2001,H,3863.93,8,1,3
2002,G,38213.66,8,1,1
2002,L,7523.99,8,1,2
2002,H,4338.83,8,1,3
2003,G,45928.58,8,1,1
2003,L,8741.04,8,1,2
2003,H,5085.80,8,1,3
2004,G,59326.36,8,1,1
2004,L,12182.12,8,1,2
2004,H,5170.01,8,1,3
2005,G,70714.79,8,1,1
2005,L,13026.54,8,1,2
2005,H,5662.95,8,1,3
2006,G,76881.10,8,1,1
2006,L,14068.70,8,1,2
