year,iso,p_G,p_L,p_H
2005,MEX,0.66022117,0.7411165,0.67354593
2006,MEX,0.73349933,0.7813372,0.69508776
2007,MEX,0.77409436,0.81257417,0.72745581
2008,MEX,0.90524098,0.87637593,0.76644842
2009,MEX,0.86128263,0.90391162,0.80344084
2010,MEX,0.82800937,0.93374415,0.84388026
2011,MEX,0.80459021,0.96291251,0.8816611
1995,RoW,0.29704784,0.27466285,0.26997712
1996,RoW,0.31568511,0.29582745,0.2939609
1997,RoW,0.34918853,0.33134318,0.3336017
1998,RoW,0.37611575,0.36430989,0.36768756
1999,RoW,0.40074324,0.40395265,0.41910717
2000,RoW,0.46452862,0.47667389,0.47782282
2001,RoW,0.50529068,0.53856706,0.53658605
2002,RoW,0.55824316,0.62263405,0.61311027
2003,RoW,0.6289445,0.7159835,0.7167833
2004,RoW,0.71561565,0.80967565,0.8187305
2005,RoW,0.84369335,0.92952198,0.95673393
2006,RoW,0.95575932,1.0457511,1.0826191
2007,RoW,1.0912216,1.1914329,1.2509597
2008,RoW,1.3246672,1.3918467,1.4718775
2009,RoW,1.3273207,1.4031514,1.4979561
2010,RoW,1.4645741,1.5553065,1.7292939
2011,RoW,1.5747072,1.636268,1.9043899
1995,USA,0.60656898,0.89186427,0.78781391
1996,USA,0.61501588,0.90576548,0.8104679
1997,USA,0.61669489,0.92061766,0.83432177
1998,USA,0.61373419,0.93213584,0.83663627
1999,USA,0.61639044,0.95537009,0.84913051
2000,USA,0.64424048,0.98258932,0.87165141
2001,USA,0.65045321,1.0071543,0.88163519
2002,USA,0.64766595,1.0227799,0.89790236
2003,USA,0.68126386,1.0482101,0.92235147
2004,USA,0.73325481,1.0771783,0.94958712
2005,USA,0.82222554,1.118703,0.97606138
2006,USA,0.88681687,1.1566433,1.0012189
2007,USA,0.93981678,1.1893801,1.0382068
2008,USA,1.0884144,1.232017,1.0615653
2009,USA,0.91529921,1.2300421,1.0657824
2010,USA,0.79515658,1.2111554,1.069663
2011,USA,0.64990554,1.1996118,1.0738291
