year,iso,real_k_G,real_k_H,real_k_L
2010,RoW,9.69E+08,7.07E+08,2.89E+09
2011,RoW,1.00E+09,7.27E+08,2.98E+09
1995,USA,2730541.3,2083052.9,14007145
1996,USA,2810690.1,2213404,14474520
1997,USA,2903025.4,2392849.8,14988023
1998,USA,3001056.2,2619042.9,15569801
1999,USA,3078987.4,2917135.7,16267411
2000,USA,3151696,3207853.2,17028177
2001,USA,3202910.2,3448668.7,17685936
2002,USA,3232924.8,3642782.2,18230716
2003,USA,3247892.6,3870259.1,18809175
2004,USA,3275654.8,4115269.2,19436214
2005,USA,3341850.8,4378362.2,20143780
2006,USA,3430651.4,4701609.7,20895440
2007,USA,3526906.7,5062865.6,21601358
2008,USA,3625319.8,5204137.3,22204112
2009,USA,3664971,5261056.5,22446965
2010,USA,3704622.2,5317975.6,22689817
2011,USA,3744273.3,5374894.8,22932670
