year,iso_i,M_i_G,M_i_H,M_i_L
1997,RoW,10828513,4018881.9,8724488.4
1998,RoW,10071813,4093772.4,8666889.4
1999,RoW,10164503,4232135,8706754.1
2000,RoW,10388939,4202945.8,8733718.6
2001,RoW,10150282,4318664.2,8848637.3
2002,RoW,10678478,4685169.5,9489522.6
2003,RoW,12455186,5593237.8,11316420
2004,RoW,14693324,6526423.9,13158847
2005,RoW,16464438,7255082.7,14424828
2006,RoW,18627967,8057750.7,15970490
2007,RoW,22026989,9567620.4,18545627
2008,RoW,25257703,10560562,20809071
2009,RoW,21718019,9783998.5,18840831
2010,RoW,24440261,10148339,20152724
2011,RoW,28242624,11215082,22645171
1995,USA,4795332.4,2923936.6,5826971.6
1996,USA,5037712.8,3196396.6,6114758.8
1997,USA,5330530.6,3497639.9,6407502.4
1998,USA,5506385.7,3843724.2,6759665.1
1999,USA,5789335,4194494.5,7254988.1
2000,USA,6195307.3,4617403.9,7825601.8
2001,USA,5980222.7,4774746,8148604.8
2002,USA,5945720.1,4919510.7,8386670.8
2003,USA,6259425.2,5229499.4,8785702.3
2004,USA,6841855.8,5601699.1,9373020.7
2005,USA,7601410.1,6085871.7,10032826
2006,USA,8070893.2,6534794,10557886
2007,USA,8465245,6981075.8,10979422
2008,USA,8680095.9,7166070.2,11414672
2009,USA,7073624.2,7167407.8,10939530
2010,USA,7556417.2,7341353.8,11420404
2011,USA,8181745.6,7604541.8,11689744
