iso_i,year,mu_GG,mu_LG,mu_HG,mu_GL,mu_LL,mu_HL,mu_GH,mu_LH,mu_HH
AUS,1995,.693668439073993,.2566714156361785,.0496601452898286,.3826675031105685,.4612406030244149,.1560918938650166,.2278455859169582,.447524262700799,.3246301513822428
AUS,1996,.6984290945339571,.2539129668466251,.0476579386194179,.3874800821691701,.4624482980654913,.1500716197653385,.2361343079083444,.4513490716081267,.312516620483529
AUS,1997,.7042551317375559,.2483352119544104,.0474096563080335,.3648994316880618,.4794109967796218,.1556895715323164,.238396560858897,.4366517766811151,.3249516624599879
AUS,1998,.6981550109977576,.2532150617175717,.0486299272846706,.3538651461708413,.4839055847128609,.1622292691162979,.2402738418674359,.4211012577275194,.3386249004050447
AUS,1999,.6879611609539982,.2603099222528254,.0517289167931765,.3442103113805259,.4859972425447215,.1697924460747526,.2372112790539192,.4050141578834133,.3577745630626675
AUS,2000,.668743993373309,.2784927206941485,.0527632859325425,.3345217705046847,.4993538667666588,.1661243627286564,.2312700431935527,.4125607451890359,.3561692116174114
AUS,2001,.676144599530795,.2730024179957189,.0508529824734861,.3352067565701607,.5015087330897521,.1632845103400871,.2375647835990359,.4053419521843869,.3570932642165772
AUS,2002,.6752319067375008,.2731523661641374,.051615727098362,.3373837164034831,.4999391183454728,.1626771652510442,.2485690936428522,.4019957098953822,.3494351964617655
AUS,2003,.6788168331648069,.2709934512098857,.0501897156253073,.3313793629670977,.5028007549686333,.1658198820642689,.2554281974239552,.3902687918248524,.3543030107511925
AUS,2004,.6935992838249875,.258901639858253,.0474990763167596,.3378605884869112,.4967508612347101,.1653885502783787,.2638137732190211,.3842103921645466,.3519758346164325
AUS,2005,.6982016440331087,.2541943698170804,.0476039861498109,.3368672502820667,.4950928276693555,.1680399220485779,.2662298765990853,.3782663238525649,.3555037995483498
AUS,2006,.7072388160093619,.2463239396456521,.0464372443449859,.3444383771395118,.4844919340164156,.1710696888440726,.2675657576390869,.3663996432501411,.3660345991107721
AUS,2007,.7073071575545241,.2461511190856226,.0465417233598532,.3391816363835372,.4862594072344232,.1745589563820396,.2658213238729589,.3678462898292889,.3663323862977521
AUS,2008,.7057242000411169,.2460998946894045,.0481759052694787,.3482801448829797,.4774841050526404,.1742357500643799,.267972481455601,.3609619900398856,.3710655285045134
AUS,2009,.7129151956289232,.2406223532789576,.0464624510921191,.3298997209151055,.4838522636609641,.1862480154239305,.2572329454930555,.3620743298298043,.3806927246771401
AUS,2010,.7159063318855557,.2383234866369752,.045770181477469,.3295055800451668,.48274298814644,.1877514318083931,.2579511927249165,.3584219449371388,.3836268623379447
AUS,2011,.7135480448525616,.2396433970066121,.0468085581408263,.3281534928602525,.4825889653812365,.1892575417585112,.2579050533480873,.357557382215392,.3845375644365208
BRA,1995,.7820677428320605,.1362133850821141,.0817188720858254,.4275562781028994,.3578191093349823,.2146246125621183,.3116538756353068,.3756798555907625,.3126662687739306
