iso_i,code,year,ppi_i
AUS,26,2011,.
AUS,27t28,1995,100
AUS,27t28,1996,95.42429224
AUS,27t28,1997,95.03227883
AUS,27t28,1998,95.80515393
AUS,27t28,1999,101.3243145
AUS,27t28,2000,106.9400299
AUS,27t28,2001,112.751671
AUS,27t28,2002,120.4536694
AUS,27t28,2003,122.8353507
AUS,27t28,2004,145.3765784
AUS,27t28,2005,150.1878397
AUS,27t28,2006,181.2712432
AUS,27t28,2007,171.5747651
AUS,27t28,2008,164.6642737
AUS,27t28,2009,168.4116686
AUS,27t28,2010,.
AUS,27t28,2011,.
AUS,29,1995,100
AUS,29,1996,105.4646153
AUS,29,1997,104.1834209
AUS,29,1998,103.7215535
AUS,29,1999,104.3152533
AUS,29,2000,106.8171363
AUS,29,2001,115.7273999
AUS,29,2002,118.1047841
AUS,29,2003,120.2179276
AUS,29,2004,135.301803
AUS,29,2005,129.6838947
AUS,29,2006,135.0866305
AUS,29,2007,134.447201
AUS,29,2008,139.0641135
AUS,29,2009,146.0141644
AUS,29,2010,.
AUS,29,2011,.
AUS,30t33,1995,100
AUS,30t33,1996,95.68335809
AUS,30t33,1997,90.58896192
AUS,30t33,1998,89.93452954
AUS,30t33,1999,90.90093328
AUS,30t33,2000,94.91433196
AUS,30t33,2001,98.96168236
AUS,30t33,2002,97.32793148
AUS,30t33,2003,100.5148991
AUS,30t33,2004,105.7245388
AUS,30t33,2005,102.2285281
AUS,30t33,2006,106.4874512
AUS,30t33,2007,105.9833952
AUS,30t33,2008,109.6228615
AUS,30t33,2009,115.1015178
AUS,30t33,2010,.
AUS,30t33,2011,.
AUS,34t35,1995,100
AUS,34t35,1996,100.5319824
AUS,34t35,1997,98.29342128
AUS,34t35,1998,102.2690037
AUS,34t35,1999,103.1873542
AUS,34t35,2000,103.8557603
AUS,34t35,2001,114.4055246
AUS,34t35,2002,114.1887095
AUS,34t35,2003,112.1995787
AUS,34t35,2004,111.6778798
AUS,34t35,2005,106.0348472
AUS,34t35,2006,110.4523447
AUS,34t35,2007,109.929521
AUS,34t35,2008,113.7044971
AUS,34t35,2009,119.3871426
AUS,34t35,2010,.
AUS,34t35,2011,.
AUS,36t37,1995,100
AUS,36t37,1996,108.6966048
AUS,36t37,1997,104.7823467
AUS,36t37,1998,103.8638688
AUS,36t37,1999,111.9149591
AUS,36t37,2000,112.8408686
AUS,36t37,2001,109.1403967
AUS,36t37,2002,105.4547663
AUS,36t37,2003,103.1431866
AUS,36t37,2004,126.3694608
AUS,36t37,2005,141.497963
AUS,36t37,2006,148.038221
AUS,36t37,2007,147.0000848
AUS,36t37,2008,152.0480629
AUS,36t37,2009,159.6470167
AUS,36t37,2010,.
AUS,36t37,2011,.
AUS,E,1995,100
AUS,E,1996,102.5078957
AUS,E,1997,107.546259
AUS,E,1998,111.7604048
AUS,E,1999,111.9789862
AUS,E,2000,115.9973506
AUS,E,2001,123.4464817
AUS,E,2002,133.4113143
AUS,E,2003,136.3971389
AUS,E,2004,141.0655798
AUS,E,2005,152.6318769
AUS,E,2006,156.6235527
AUS,E,2007,175.3902423
AUS,E,2008,183.1329724
AUS,E,2009,180.795673
AUS,E,2010,.
AUS,E,2011,.
AUS,F,1995,100
AUS,F,1996,101.6155162
AUS,F,1997,107.2636504
AUS,F,1998,116.9173057
AUS,F,1999,114.7751015
AUS,F,2000,91.552598
AUS,F,2001,98.47285693
AUS,F,2002,110.3789405
AUS,F,2003,117.7492876
AUS,F,2004,128.7616597
AUS,F,2005,128.9057865
AUS,F,2006,139.4262817
AUS,F,2007,142.6766183
AUS,F,2008,147.2486737
AUS,F,2009,152.0275565
AUS,F,2010,.
AUS,F,2011,.
AUS,50,1995,100
AUS,50,1996,101.0017926
AUS,50,1997,100.8147008
AUS,50,1998,101.0446816
AUS,50,1999,102.4995769
AUS,50,2000,103.0534498
AUS,50,2001,105.6215872
AUS,50,2002,102.8846532
AUS,50,2003,105.6238512
AUS,50,2004,106.1694014
AUS,50,2005,109.2961363
AUS,50,2006,113.1994907
AUS,50,2007,121.5112121
AUS,50,2008,129.6353585
AUS,50,2009,134.9402315
AUS,50,2010,.
AUS,50,2011,.
AUS,51,1995,100
AUS,51,1996,100.3931117
AUS,51,1997,100.1342851
AUS,51,1998,104.2931555
AUS,51,1999,101.8874109
AUS,51,2000,109.1777032
AUS,51,2001,110.9687166
AUS,51,2002,115.8048088
AUS,51,2003,111.5156286
AUS,51,2004,114.1980103
AUS,51,2005,114.5745488
AUS,51,2006,118.4086194
AUS,51,2007,128.3785577
AUS,51,2008,136.9618496
AUS,51,2009,142.5665335
AUS,51,2010,.
AUS,51,2011,.
AUS,52,1995,100
AUS,52,1996,101.0017926
AUS,52,1997,100.8147008
AUS,52,1998,101.0446816
AUS,52,1999,102.4995769
AUS,52,2000,103.0534498
AUS,52,2001,105.6215872
AUS,52,2002,102.8846532
