iso_i,code,year,k_ppi
AUS,26,2010,.
AUS,26,2011,.
AUS,27t28,1995,100
AUS,27t28,1996,96.59572487
AUS,27t28,1997,95.77634024
AUS,27t28,1998,100.1808983
AUS,27t28,1999,94.13098466
AUS,27t28,2000,103.2100945
AUS,27t28,2001,102.7767251
AUS,27t28,2002,97.93465643
AUS,27t28,2003,95.70845001
AUS,27t28,2004,104.9441895
AUS,27t28,2005,106.7817579
AUS,27t28,2006,104.3566253
AUS,27t28,2007,95.36993991
AUS,27t28,2008,97.3218952
AUS,27t28,2009,95.77559671
AUS,27t28,2010,.
AUS,27t28,2011,.
AUS,29,1995,100
AUS,29,1996,95.3924939
AUS,29,1997,95.41046585
AUS,29,1998,90.73844997
AUS,29,1999,81.60484171
AUS,29,2000,87.74534441
AUS,29,2001,79.8846612
AUS,29,2002,79.86565056
AUS,29,2003,69.15661588
AUS,29,2004,68.14931378
AUS,29,2005,65.10377249
AUS,29,2006,56.93324862
AUS,29,2007,46.0196802
AUS,29,2008,46.96157404
AUS,29,2009,46.21542528
AUS,29,2010,.
AUS,29,2011,.
AUS,30t33,1995,100
AUS,30t33,1996,95.69706313
AUS,30t33,1997,96.24843689
AUS,30t33,1998,91.28791104
AUS,30t33,1999,83.02835633
AUS,30t33,2000,88.82174828
AUS,30t33,2001,74.86443893
AUS,30t33,2002,75.2674222
AUS,30t33,2003,74.99318356
AUS,30t33,2004,60.70373684
AUS,30t33,2005,57.26520603
AUS,30t33,2006,49.15547291
AUS,30t33,2007,39.05389298
AUS,30t33,2008,39.85321667
AUS,30t33,2009,39.22000902
AUS,30t33,2010,.
AUS,30t33,2011,.
AUS,34t35,1995,100
AUS,34t35,1996,95.60215361
AUS,34t35,1997,95.99667764
AUS,34t35,1998,91.11713755
AUS,34t35,1999,82.58900833
AUS,34t35,2000,88.48847909
AUS,34t35,2001,99.73936847
AUS,34t35,2002,98.85861723
AUS,34t35,2003,92.74146237
AUS,34t35,2004,76.70266396
AUS,34t35,2005,73.65197191
AUS,34t35,2006,66.54320406
AUS,34t35,2007,55.85434906
AUS,34t35,2008,56.99753099
AUS,34t35,2009,56.09192598
AUS,34t35,2010,.
AUS,34t35,2011,.
AUS,36t37,1995,100
AUS,36t37,1996,96.33081843
AUS,36t37,1997,95.67513736
AUS,36t37,1998,95.23395402
AUS,36t37,1999,84.46116285
AUS,36t37,2000,76.32593953
AUS,36t37,2001,76.47743679
AUS,36t37,2002,87.80453102
AUS,36t37,2003,68.35958881
AUS,36t37,2004,60.14626923
AUS,36t37,2005,56.65983511
AUS,36t37,2006,48.58475925
AUS,36t37,2007,38.57474693
AUS,36t37,2008,39.36426385
AUS,36t37,2009,38.73882492
AUS,36t37,2010,.
AUS,36t37,2011,.
AUS,E,1995,100
AUS,E,1996,96.83298422
AUS,E,1997,98.49671134
AUS,E,1998,97.49253723
AUS,E,1999,93.25425761
AUS,E,2000,93.17705298
AUS,E,2001,94.87852922
AUS,E,2002,90.11379114
AUS,E,2003,87.59600844
AUS,E,2004,86.72533504
AUS,E,2005,87.48092723
AUS,E,2006,88.19547849
AUS,E,2007,84.4619681
AUS,E,2008,86.19066779
AUS,E,2009,84.82122776
AUS,E,2010,.
AUS,E,2011,.
AUS,F,1995,100
AUS,F,1996,91.78248298
AUS,F,1997,90.20310475
AUS,F,1998,92.26414449
AUS,F,1999,86.97331201
AUS,F,2000,86.23604186
AUS,F,2001,81.39753688
AUS,F,2002,78.14027164
AUS,F,2003,68.81050278
AUS,F,2004,65.13903211
AUS,F,2005,59.32208583
AUS,F,2006,56.81504318
AUS,F,2007,51.01178901
AUS,F,2008,52.05585732
AUS,F,2009,51.22876807
AUS,F,2010,.
AUS,F,2011,.
AUS,50,1995,100
AUS,50,1996,94.0084784
AUS,50,1997,90.4356748
AUS,50,1998,88.67162837
AUS,50,1999,83.98858545
AUS,50,2000,81.31170761
AUS,50,2001,78.35772632
AUS,50,2002,69.34358889
AUS,50,2003,59.64139244
AUS,50,2004,55.98904923
AUS,50,2005,50.54674786
AUS,50,2006,45.8893705
AUS,50,2007,38.85998136
AUS,50,2008,39.65533623
AUS,50,2009,39.0252726
AUS,50,2010,.
