iso_i,Code,year,real_k
AUS,26,2007,20248.06495
AUS,26,2008,22895.67746
AUS,26,2009,25469.40047
AUS,26,2010,.
AUS,26,2011,.
AUS,27t28,1995,35030.38081
AUS,27t28,1996,34258.16203
AUS,27t28,1997,35090.69351
AUS,27t28,1998,35426.33792
AUS,27t28,1999,35385.39319
AUS,27t28,2000,35188.49474
AUS,27t28,2001,35306.05114
AUS,27t28,2002,35331.07133
AUS,27t28,2003,36106.12882
AUS,27t28,2004,37348.87572
AUS,27t28,2005,39038.63411
AUS,27t28,2006,40181.63724
AUS,27t28,2007,41668.03696
AUS,27t28,2008,43216.24383
AUS,27t28,2009,44782.13196
AUS,27t28,2010,.
AUS,27t28,2011,.
AUS,29,1995,5218.226831
AUS,29,1996,5170.465171
AUS,29,1997,5204.408718
AUS,29,1998,5150.551735
AUS,29,1999,5145.013977
AUS,29,2000,5179.896298
AUS,29,2001,5293.775268
AUS,29,2002,5463.669877
AUS,29,2003,5757.387343
AUS,29,2004,6246.765646
AUS,29,2005,6887.227868
AUS,29,2006,7516.623263
AUS,29,2007,8414.205492
AUS,29,2008,9308.969228
AUS,29,2009,10188.65175
AUS,29,2010,.
AUS,29,2011,.
AUS,30t33,1995,5764.279803
AUS,30t33,1996,5970.389501
AUS,30t33,1997,6361.889506
AUS,30t33,1998,6522.812279
AUS,30t33,1999,6788.064005
AUS,30t33,2000,7152.58614
AUS,30t33,2001,7806.904489
AUS,30t33,2002,8031.82389
AUS,30t33,2003,8178.052773
AUS,30t33,2004,8504.889077
AUS,30t33,2005,9031.782681
AUS,30t33,2006,9580.983841
AUS,30t33,2007,10495.50322
AUS,30t33,2008,11401.52531
AUS,30t33,2009,12284.34148
AUS,30t33,2010,.
AUS,30t33,2011,.
AUS,34t35,1995,8869.586345
AUS,34t35,1996,8850.213179
AUS,34t35,1997,9053.894077
AUS,34t35,1998,8991.940325
AUS,34t35,1999,9055.559405
AUS,34t35,2000,9228.119316
AUS,34t35,2001,9376.142276
AUS,34t35,2002,10517.17381
AUS,34t35,2003,11266.47725
AUS,34t35,2004,12705.50401
AUS,34t35,2005,14527.75452
AUS,34t35,2006,16157.62143
AUS,34t35,2007,18392.12173
AUS,34t35,2008,20565.38194
AUS,34t35,2009,22649.06892
AUS,34t35,2010,.
AUS,34t35,2011,.
AUS,36t37,1995,3593.633887
AUS,36t37,1996,3526.668492
AUS,36t37,1997,3425.889293
AUS,36t37,1998,3366.79064
AUS,36t37,1999,3380.284778
AUS,36t37,2000,3314.029287
AUS,36t37,2001,3477.690748
AUS,36t37,2002,3497.024139
AUS,36t37,2003,3742.942391
AUS,36t37,2004,4163.15379
AUS,36t37,2005,4723.436196
AUS,36t37,2006,5283.115845
AUS,36t37,2007,6116.093718
AUS,36t37,2008,6921.232529
AUS,36t37,2009,7688.969407
AUS,36t37,2010,.
AUS,36t37,2011,.
AUS,E,1995,61421.92091
AUS,E,1996,62026.51756
AUS,E,1997,63100.02558
AUS,E,1998,65744.60653
AUS,E,1999,68635.1611
AUS,E,2000,71161.62707
AUS,E,2001,74803.4082
AUS,E,2002,78674.90031
AUS,E,2003,83958.46803
AUS,E,2004,90093.41716
AUS,E,2005,98088.77917
AUS,E,2006,109197.2424
AUS,E,2007,125243.9227
AUS,E,2008,141096.5651
AUS,E,2009,156553.2698
AUS,E,2010,.
AUS,E,2011,.
AUS,F,1995,27050.8664
AUS,F,1996,27261.71743
AUS,F,1997,28120.63307
